game_id,rating_board,rating_value,descriptors
game_000001,usk,16,Gewalt; In-Game Käufe (+zufällige Objekte); Chats
game_000001,agcom,16,Violenza
game_000001,cadpa,12,
game_000001,dejus,16,Violência
game_000001,steam_germany,16,Drastische Gewalt
game_000001,igrs,18,"Interaksi Daring
Kekerasan"
game_000001,steam_australia,MA15,"Strong Violence
Mild themes"
game_000002,kgrb,19,폭력성
game_000002,esrb,t,"Violence
Blood

Users Interact"
game_000002,usk,16,"Games in this category may contain more intense violence, including depictions of combat with realistic weapons or fighting. The game might have more serious, darker themes (e.g., crime, horror, or war) and could include some blood, crude humor, or stronger language. These elements should not be overly graphic, but the violence and tension are at a level inappropriate for younger players."
game_000002,pegi,16,
game_000002,oflc,ma15,
game_000002,nzoflc,ma15,
game_000002,dejus,16,
game_000002,csrr,C15,
game_000003,esrb,m,"Intense Violence
Blood and Gore
Nudity
Mature Humor
Strong Language
Strong Sexual Content
Use of Drugs and Alcohol"
game_000003,kgrb,18,"Game Descriptive: Sexual Content, Violence, Inappropriate Language, Drug, Crime, Gambling 

Title Name: Grand Theft Auto V
Age: 18+
Certificate #: CC-NP-150205-002 호
Issue date: 20150205
Company Name:테이크투인터렉티브유한회사
Distributor No,: 제 2009-00016호
----------------------------------
내용정보표지사항: 선정성, 폭력성, 언어의 부적절성, 약물, 범죄, 사행성
제명: 그랜드 테프트 오토 V
이용등급: 청소년이용불가
등급분류번호: CC-NP-150205-002 호
등급분류일자: 20150205
상호: 테이크투인터렉티브유한회사
제작.배급업 신고번호: 제 2009-00016호"
game_000003,pegi,18,"Violence
Online Play,
Strong Language"
game_000003,usk,18,
game_000003,gmedia,21,
game_000004,dejus,6,Violência fantasiosa
game_000004,steam_germany,12,Fantasy-Gewalt
game_000004,igrs,13,"Kekerasan
Interaksi Daring"
game_000005,pegi,18,"Violence
Bad Language
In-Game Purchases(Includes Random Items)"
game_000005,esrb,m,"Blood
Drug Reference
Strong Language
Violence"
game_000005,dejus,16,"Violência
Atos criminosos"
game_000005,usk,16,"Gewalt
Chats
In-Game-Käufe (+ zufällige Objekte)"
game_000005,oflc,ma15,"Strong violence
Online interactivity"
game_000005,nzoflc,r16,"Violence
Offensive Language"
game_000005,cero,d,Violence
game_000005,csrr,C15,"Violence
Improper Language
Anti-Social"
game_000005,fpb,18,"Drugs
Horror
Language
Prejudice
Violence"
game_000005,steam_germany,16,"Drastische Gewalt
Alkohol / Tabak
Derbe Sprache"
game_000005,igrs,18,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Kekerasan
Penggunaan bahasa"
game_000006,dejus,18,"Violência fantasiosa
Violência
Medo
Linguagem imprópria
Nudez"
game_000006,kgrb,18,
game_000006,steam_germany,16,Drastische Gewalt
game_000006,igrs,BANNED,"Interaksi Daring
Kekerasan"
game_000007,usk,16,
game_000007,agcom,12,Violenza
game_000007,dejus,18,"Nudez
Violência"
game_000007,steam_germany,16,Gewalt
game_000007,igrs,18,"Interaksi Daring
Kekerasan"
game_000007,steam_australia,M,"Mild Nudity
Mild Violence"
game_000008,dejus,12,Violência
game_000008,steam_germany,16,Gewalt
game_000008,igrs,15,"Kekerasan
Interaksi Daring"
game_000009,usk,16,Fantasy-Gewalt
game_000009,esrb,t,"Violence
Blood and Gore
Partial Nudity
Language"
game_000009,pegi,16,"Violence
Sex
Drugs"
game_000009,csrr,C15,"暴力,恐怖"
game_000009,kgrb,15,폭력성
game_000009,dejus,14,"Linguagem imprópria
Violência"
game_000009,steam_germany,16,"Drastische Gewalt
Derbe Sprache"
game_000009,igrs,18,"Kekerasan
Horor
Penggunaan bahasa"
game_000009,steam_australia,MA15,"Strong Violence
Mild Coarse Language
Mild horror themes"
game_000010,esrb,m,"Blood and Gore
Language
Suggestive Themes
Violence"
game_000010,dejus,16,"Violência
Compras on-line"
game_000010,pegi,16,"Violence
In-Game Purchases"
game_000010,usk,16,
game_000010,nzoflc,r13,Violence &amp; horror scenes
game_000010,fpb,16,
game_000010,csrr,R,
game_000010,cero,d,暴力
game_000010,crl,16,
game_000011,esrb,m,"Blood and Gore
Intense Violence"
game_000011,usk,16,"Gewalt
Chats, In-Game-Käufe"
game_000011,oflc,ma15,"Strong science fiction violence
Online interactivity and chat 
In-game purchases"
game_000011,nzoflc,r16,Bloody Violence
game_000011,cero,z,犯罪、暴力
game_000011,fpb,18,"CI – Competitive Intensity, H – Horror, V - Violence"
game_000011,csrr,R,Violence
game_000011,crl,18,
game_000011,mda,M18,
game_000011,dejus,18,"Violência Extrema
Compras online
Interação de usuários"
game_000011,pegi,18,"Violence
In-Game Purchases"
game_000011,kgrb,18,폭력
game_000011,steam_germany,18,Drastische Gewalt
game_000011,igrs,18,"Kekerasan
Interaksi Daring"
game_000011,steam_australia,R18,High Impact Violence
game_000012,esrb,t,"Blood
Violence"
game_000012,pegi,16,"Violence
In-Game Purchases"
game_000012,usk,16,
game_000012,oflc,ma15,"Strong Violence
Online Interactivity"
game_000012,nzoflc,r13,Violence
game_000012,kgrb,18,Violence
game_000012,dejus,14,Violência
game_000012,fpb,16,V CI
game_000012,csrr,C15,Violence
game_000012,crl,18,Contains or justifies violence
game_000012,bbfc,PG,
game_000012,steam_germany,16,"Drastische Gewalt
Alkohol / Tabak
Derbe Sprache"
game_000012,igrs,18,"Interaksi Daring
Kekerasan
Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya"
game_000012,steam_australia,MA15,"Strong Violence
Mild Coarse Language
Mild Drug Themes"
game_000013,oflc,r18,
game_000013,kgrb,18,
game_000013,usk,18,
game_000013,dejus,14,Violência
game_000013,steam_germany,16,Drastische Gewalt
game_000013,igrs,18,"Interaksi Daring
Kekerasan
Horor"
game_000013,steam_australia,MA15,"Strong Violence
Mild horror themes"
game_000014,dejus,l,
game_000014,steam_germany,0,
game_000014,igrs,3,
game_000014,steam_australia,0,
game_000015,esrb,e10,"Fantasy Violence
Mild Blood
Mild Language
Use of Alcohol and Tobacco
Simulated Gambling"
game_000015,pegi,12,Violence
game_000015,usk,6,
game_000015,oflc,pg,
game_000015,dejus,12,"Violência fantasiosa
Violência
Drogas lícitas"
game_000016,pegi,3,
game_000016,usk,0,
game_000016,dejus,l,
game_000016,steam_germany,12,
game_000016,igrs,3,Interaksi Daring
game_000017,esrb,m,"Blood and Gore
Intense Violence
Nudity
Strong Language
Strong Sexual Content
Use of Drugs
Use of Alcohol"
game_000017,pegi,18,"Violence
Sex
Bad Language"
game_000017,oflc,r18,"High impact themes
Sex
Violence
References to sexual violence"
game_000017,nzoflc,r18,"Violence
Offensive language
Sex scenes"
game_000017,kgrb,18,"Sexuality
Violence
Crude Language
Usage of Drugs"
game_000017,dejus,18,"Conteúdo sexual
Drogas
Violência Extrema"
game_000017,mda,M18,"Violence
Sexual scenes
Coarse language"
game_000017,csrr,R,"Sex
Violence
Tabacco
Alcohol"
game_000017,crl,18,
game_000017,usk,18,
game_000017,steam_germany,18,"Sexuelle Inhalte
Drastische Gewalt
Drogen"
game_000017,igrs,BANNED,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Penampilan Tokoh
Kekerasan"
game_000017,steam_australia,R18,"High Impact Sexual Themes
Strong Violence
Mature themes
Drug Themes"
game_000018,esrb,m,"Blood and Gore
Intense Violence
Nudity
Strong Language
Strong Sexual Content
Use of Alcohol"
game_000018,pegi,18,"Violence
Bad language"
game_000018,usk,18,
game_000018,oflc,r18,High impact violence and sex
game_000018,nzoflc,r16,"Violence
Sexual violence
Offensive language and sex scenes"
game_000018,kgrb,18,"Sexuality
Violence
Language
Drugs"
game_000018,dejus,16,"Conteúdo Sexual
Drogas Lícitas
Violência"
game_000018,mda,M18,"STRONG VIOLENCE, NUDITY AND SEXUAL SCENES"
game_000018,fpb,18,"SCENES CONTAINING IMAGES OF ILLEGAL DRUGS
SCENES OF HORROR
STRONG LANGUAGE (SWEAR-WORDS, THREATS, ABUSE OR PREJUDICE)
GRAPHIC OR PROLONGED PICTURES OF NUDITY
THERE MAY BE BRIEF SCENES OF SEXUAL ACTIVITY
SCENES SHOWING PICTURES OF VIOLENCE"
game_000018,csrr,R,
game_000018,crl,18,
game_000018,steam_germany,16,"Sexuelle Inhalte
Drastische Gewalt
Alkohol / Tabak"
game_000018,igrs,BANNED,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Penampilan Tokoh
Kekerasan"
game_000019,esrb,m,"Blood and Gore
Intense Violence
Strong Language"
game_000019,oflc,ma15,"Strong horror themes and violence, online interactivity"
game_000019,nzoflc,r16,Violence and horror
game_000019,pegi,18,Extreme violence
game_000019,dejus,18,Violência Extrema
game_000019,usk,18,
game_000019,steam_germany,18,"Drastische Gewalt
Alkohol / Tabak
Derbe Sprache"
game_000019,igrs,18,"Interaksi Daring
Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Kekerasan"
game_000020,dejus,12,"Violência
Medo"
game_000020,steam_germany,16,Horror
game_000020,igrs,18,"Horor
Kekerasan
Interaksi Daring"
game_000021,esrb,m,"Intense Violence
Blood and Gore
Strong Sexual Content
Nudity
Strong Language"
game_000021,pegi,18,"Violence
Bad Language
Sex"
game_000021,dejus,16,"Violência Extrema
Linguagem imprópria
Nudez"
game_000021,csrr,R,"性,
暴力,
不當言語"
game_000021,usk,18,"Drastische Gewalt
Horror
Sexuelle Inhalte"
game_000021,steam_germany,18,"Drastische Gewalt
Sexuelle Inhalte
Derbe Sprache"
game_000021,igrs,BANNED,"Kekerasan
Penggunaan bahasa
Interaksi Daring"
game_000021,steam_australia,R18,"High Impact Sexual Themes
High Impact Violence
Mild Coarse Language"
game_000022,esrb,t,"Violence
"
game_000022,pegi,16,Strong Violence
game_000022,usk,12,
game_000022,crl,12,
game_000022,dejus,18,Violência
game_000022,steam_germany,16,Gewalt
game_000022,igrs,18,"Interaksi Daring
Kekerasan"
game_000023,esrb,m,"Blood and Gore
Intense Violence
Nudity
Sexual Content
Strong Language
Use of Drugs and Alcohol"
game_000023,pegi,18,"Strong Language
Violence
Gambling"
game_000023,usk,18,No youth
game_000023,oflc,ma15,"Online Interactivity
Strong Themes
Violence"
game_000023,nzoflc,r16,"Cruelty
Offensive Language
Violence"
