developer_id,name
dev_fecb26fa4d,Valve
dev_517151e881,PUBG Corporation
dev_3fe60900eb,Rockstar North
dev_a097d7bcee,Re-Logic
dev_1f98e103f1,Ubisoft Montreal
dev_cc9ac01572,Facepunch Studios
dev_2ba4a2c273,Game Science
dev_f6bed09f7f,"FromSoftware, Inc."
dev_9a799b0873,Arrowhead Game Studios
dev_5a0bd45250,Respawn
dev_956ca380d7,Wallpaper Engine Team
dev_93c53b1bf3,ConcernedApe
dev_8c3abffcf7,SCS Software
dev_48fe0cb430,CD PROJEKT RED
dev_0aadd801dd,Behaviour Interactive Inc.
dev_ea7292cb05,Kinetic Games
dev_9593092303,Larian Studios
dev_613b037e94,Gaijin Entertainment
dev_b7352908a9,Rockstar Games
dev_766a33f2ca,Studio Wildcard
dev_82901112c4,Instinct Games
dev_cd58260d70,Efecto Studios
dev_bc924e8efb,Virtual Basement LLC
dev_87818a9e79,Treyarch
dev_1862c120ef,Raven Software
dev_27d8266bec,Beenox
dev_9136bc543c,High Moon Studios
dev_0142cd929c,Sledgehammer Games
dev_275e0b062d,Infinity Ward
dev_a5de95f508,Activision Shanghai
dev_63b5da76f6,Demonware
dev_c1ed882477,Innersloth
dev_cc992aecee,OVERKILL - a Starbreeze Studio.
dev_c3f6f14ca9,Endnight Games Ltd
dev_2d309e2c8b,Digital Extremes
dev_2203a83681,Bungie
dev_9d3485b09e,Psyonix LLC
dev_a4909e1757,Smartly Dressed Games
dev_524e07d4de,Iron Gate AB
dev_4464ee855a,Klei Entertainment
dev_8e8f72da08,"CAPCOM Co., Ltd."
dev_b3888d88dd,Zeekerss
dev_d2d611d38c,Mediatonic
dev_d62ddb609f,Techland
dev_8a06a56098,Bohemia Interactive
dev_fd760ea377,RobTop Games
dev_066d3de6f7,Team Cherry
dev_9ee467f918,Bethesda Game Studios
dev_b1f5da22a6,Blue Mammoth Games
dev_f5741b04ac,Pocketpair
dev_a89e203bc6,The Indie Stone
dev_83cfdc3b91,The Fun Pimps
dev_84496a28a8,Rare Ltd
dev_a261f0c454,Ninja Kiwi
dev_1f91bb5b2e,Hello Games
dev_b1f3367ec1,Firaxis Games
dev_c9f6a5224c,Aspyr (Mac)
dev_3c13d9a276,Aspyr (Linux)
dev_122d76d55a,Evil Mojo Games
dev_7a4a1d598b,Redbeet Interactive
dev_68b490085b,"Nicalis, Inc."
dev_53cab240f3,Edmund McMillen
dev_b834060229,Ghost Ship Games
dev_540aece58e,Paradox Development Studio
dev_0edbeafe5f,24 Entertainment
dev_6088b51a5f,BeamNG
dev_8233cbd7c5,Avalanche Software
dev_ade98b736a,Unknown Worlds Entertainment
dev_560f91fe36,Hopoo Games
dev_bbe7a403b1,DICE
dev_f377388312,Gearbox Software
dev_fe993848d7,Playground Games
dev_e0a277a55f,Amazon Game Studios
dev_9bf38998af,mestiez
dev_75741d4c99,Supergiant Games
dev_44790f71cd,Colossal Order
dev_40db41be24,tobyfox
dev_9238f822c9,TaleWorlds Entertainment
dev_5d51ad25fc,Respawn Entertainment
dev_783f85ec95,poncle
dev_b121310a55,Crytek
dev_2e654db9c0,Crystal Dynamics
dev_a7cea953c1,Eidos-Montréal
dev_3a8444e6dc,Feral Interactive (Mac)
dev_64e57558d9,Nixxes
dev_3e36e846bc,343 Industries
dev_cb85d96e27,Splash Damage
dev_7946321e88,Ruffian Games
dev_9fc1b8dfca,Saber Interactive
dev_96befdc47a,VRChat Inc.
dev_993353aa67,VOID Interactive
dev_e261fa8d14,Grinding Gear Games
dev_e9a3d4cd91,Coffee Stain Studios
dev_f90a0c03a8,Obsidian Entertainment
dev_1f5e3993d7,鬼谷工作室
dev_cce9d5afbd,Hazelight Studios
dev_485cd866c5,Wube Software LTD.
dev_088bf6e2a0,Northwood Studios
dev_4b83026a77,No Brakes Games
dev_588c6152a4,Team Salvato
dev_d77767c804,Offworld
dev_b6fadd55b1,Ludeon Studios
dev_8796f45e1b,id Software
dev_0f930af991,TVGS
dev_fda226779c,Daybreak Game Company
dev_4a1337fc57,Studio MDHR Entertainment Inc.
dev_6bf1f7441b,semiwork
dev_76e66d3d1e,Mega Crit
dev_b887a05be5,Expansive Worlds
dev_1f3092a679,Rockstar Toronto
dev_297bbefca2,Red Storm
dev_13c15bec5d,Ubisoft Shanghai
dev_4f2830bceb,Ubisoft Toronto
dev_7be767c35b,Ubisoft Kiev
dev_0e8b0eb4f5,Ubisoft Quebec
dev_b6a19e6194,Ubisoft Bucharest
dev_377dd612f6,Ubisoft Singapore
dev_648d44c326,Ubisoft Montpellier
dev_177857d202,Maxis
dev_b7f63960fb,"Arsi ""Hakita"" Patala"
dev_9aea6b4b21,DONTNOD Entertainment
dev_ab9a396f93,Feral Interactive (Linux)
dev_64536a2c34,Quantic Dream
dev_7ec617cba9,Motion Twin
dev_66d0c5e15f,Chucklefish
dev_44e1019872,World's Edge
dev_a80d33b0db,Forgotten Empires
dev_489a8b7adc,CaptureAge
dev_bcd5958d92,Tantalus Media
dev_d19d735e09,Wicked Witch
dev_4ae8c026f0,Feral Interactive
dev_1403e68387,Warhorse Studios
dev_2234a05714,Santa Monica Studio
dev_6c8eb07204,Jetpack Interactive
dev_889b3c32da,BlueTwelve Studio
dev_6a6eca2e23,ZeniMax Online Studios
dev_5d10698d39,LocalThunk
dev_3f547476e0,Dani
dev_5fe88e07db,EA Canada
dev_44105903f9,EA Romania
dev_ede05f9603,KUNOS Simulazioni
dev_f2aecec835,Blue Byte
dev_a5d9a7ddb2,Red Hook Studios
dev_031e093d2e,Wargaming Group Limited
dev_c7abcdc3c5,Zorro
dev_003c1aca59,Wilnyl
dev_3ba3974e96,Philip
dev_adf4ee1308,thePetHen
dev_c070b3ff06,Skog
dev_2e0a4e0e24,SgtOkiDoki
dev_deae2c305d,Vilaskis
dev_d808ec26f3,TheLiquidHorse
dev_8f395b5a54,TLM Partners
dev_f0d2a22862,Irrational Games
dev_08ad9c0c6b,Virtual Programming (Linux)
dev_960005dc6d,Square Enix
dev_7e2ab9d58c,PlatinumGames Inc.
dev_274daafc56,Rocksteady Studios
dev_cbddf1de81,"PopCap Games, Inc."
dev_e8efaafd1f,Monomi Park
dev_da3ada228c,Expression Games
dev_720a7ba776,Moon Studios GmbH
dev_6a2ca41646,landfall
dev_f83dec0dc0,Paradox Tinto
dev_da92a37261,Fatshark
dev_354f63fc76,Ghost Games
dev_d7b7e7896e,Keen Software House
dev_c268994366,Daniel Mullins Games
dev_a6e1474ede,MINTROCKET
dev_8f66db616c,QLOC
dev_6c67279888,System Era Softworks
dev_cd261c17e2,Scopely
dev_7b6abaabac,Crowbar Collective
dev_9ceb515cd8,Squad
dev_51a2887f42,New World Interactive
dev_e44c2b6896,Tripwire Interactive
dev_b8fd5895f0,Red Barrels
dev_84ebd1036c,The Behemoth
dev_2614095818,Guerrilla
dev_6e4a85e071,vanripper
dev_613b472258,CREATIVE ASSEMBLY
dev_002a1b3721,11 bit studios
dev_f1afe12735,Landfall West
dev_a550a45d38,Avalanche Studios
