publisher_id,name
pub_fecb26fa4d,Valve
pub_b405299427,"KRAFTON, Inc."
pub_b7352908a9,Rockstar Games
pub_a097d7bcee,Re-Logic
pub_0981fab8c6,Ubisoft
pub_cc9ac01572,Facepunch Studios
pub_2ba4a2c273,Game Science
pub_f6bed09f7f,"FromSoftware, Inc."
pub_32fae4ea2e,BANDAI NAMCO Entertainment
pub_dd606a32c1,PlayStation Publishing LLC
pub_096aeb2a2b,Electronic Arts
pub_956ca380d7,Wallpaper Engine Team
pub_93c53b1bf3,ConcernedApe
pub_8c3abffcf7,SCS Software
pub_48fe0cb430,CD PROJEKT RED
pub_0aadd801dd,Behaviour Interactive Inc.
pub_ea7292cb05,Kinetic Games
pub_9593092303,Larian Studios
pub_797692dd51,Gaijin Network Ltd
pub_766a33f2ca,Studio Wildcard
pub_a19db46c05,Snail Games USA
pub_233b75da25,Activision
pub_c1ed882477,Innersloth
pub_3f28e9cf26,Starbreeze Entertainment
pub_c3f6f14ca9,Endnight Games Ltd
pub_2d309e2c8b,Digital Extremes
pub_2203a83681,Bungie
pub_9d3485b09e,Psyonix LLC
pub_a4909e1757,Smartly Dressed Games
pub_49c43429e0,Coffee Stain Publishing
pub_4464ee855a,Klei Entertainment
pub_8e8f72da08,"CAPCOM Co., Ltd."
pub_b3888d88dd,Zeekerss
pub_d62ddb609f,Techland
pub_8a06a56098,Bohemia Interactive
pub_fd760ea377,RobTop Games
pub_066d3de6f7,Team Cherry
pub_c1efd463f5,Bethesda Softworks
pub_f5741b04ac,Pocketpair
pub_a89e203bc6,The Indie Stone
pub_b151029816,The Fun Pimps Entertainment LLC
pub_2a30db1cc3,Xbox Game Studios
pub_a261f0c454,Ninja Kiwi
pub_1f91bb5b2e,Hello Games
pub_9636c122dd,2K
pub_c9f6a5224c,Aspyr (Mac)
pub_3c13d9a276,Aspyr (Linux)
pub_7ea8255e66,Hi-Rez Studios
pub_03c0b69e97,Axolot Games
pub_68b490085b,"Nicalis, Inc."
pub_f0d91603b5,Paradox Interactive
pub_ed04fafa05,NetEase Games
pub_6088b51a5f,BeamNG
pub_f7a9ffc3ef,Activision (Excluding Japan and Asia)
pub_f846bfda26,"FromSoftware, Inc. (Japan)"
pub_6f7b62705c,方块游戏 (Asia)
pub_095c1e0aac,Warner Bros. Games
pub_ade98b736a,Unknown Worlds Entertainment
pub_11ed1d42b7,Gearbox Publishing
pub_e0a277a55f,Amazon Game Studios
pub_9b001023c0,Studio Minus
pub_75741d4c99,Supergiant Games
pub_40db41be24,tobyfox
pub_9238f822c9,TaleWorlds Entertainment
pub_489f1fd809,Newnight
pub_783f85ec95,poncle
pub_b121310a55,Crytek
pub_2e654db9c0,Crystal Dynamics
pub_3a8444e6dc,Feral Interactive (Mac)
pub_96befdc47a,VRChat Inc.
pub_993353aa67,VOID Interactive
pub_e261fa8d14,Grinding Gear Games
pub_1f5e3993d7,鬼谷工作室
pub_165b6212cf,Lightning Games
pub_485cd866c5,Wube Software LTD.
pub_088bf6e2a0,Northwood Studios
pub_cc373bc7c1,Curve Games
pub_588c6152a4,Team Salvato
pub_d77767c804,Offworld
pub_b6fadd55b1,Ludeon Studios
pub_0f930af991,TVGS
pub_fda226779c,Daybreak Game Company
pub_4a1337fc57,Studio MDHR Entertainment Inc.
pub_6bf1f7441b,semiwork
pub_76e66d3d1e,Mega Crit
pub_a550a45d38,Avalanche Studios
pub_ebdb3967e3,New Blood Interactive
pub_960005dc6d,Square Enix
pub_ab9a396f93,Feral Interactive (Linux)
pub_64536a2c34,Quantic Dream
pub_7ec617cba9,Motion Twin
pub_66d0c5e15f,Chucklefish
pub_ac30c0eba7,Focus Entertainment
pub_1403e68387,Warhorse Studios
pub_8462fdc963,Deep Silver
pub_7589ef18aa,Annapurna Interactive
pub_56fb24c1df,Playstack
pub_3f547476e0,Dani
pub_fc322bb86a,505 Games
pub_a5d9a7ddb2,Red Hook Studios
pub_031e093d2e,Wargaming Group Limited
pub_c79bf1cbec,Evil Landfall?
pub_2e0a4e0e24,SgtOkiDoki
pub_8f395b5a54,TLM Partners
pub_5358487ab6,WB Games
pub_cbddf1de81,"PopCap Games, Inc."
pub_e8efaafd1f,Monomi Park
pub_1c505d40a9,Team17
pub_6a2ca41646,landfall
pub_da92a37261,Fatshark
pub_d7b7e7896e,Keen Software House
pub_61e8467dd3,Devolver Digital
pub_a6e1474ede,MINTROCKET
pub_6c67279888,System Era Softworks
pub_cd261c17e2,Scopely
pub_7b6abaabac,Crowbar Collective
pub_62824651ac,Private Division
pub_e44c2b6896,Tripwire Interactive
pub_b8fd5895f0,Red Barrels
pub_84ebd1036c,The Behemoth
pub_6e4a85e071,vanripper
pub_51a2887f42,New World Interactive
pub_9bc5f61795,SEGA
pub_002a1b3721,11 bit studios
pub_3081696f79,Maddy Makes Games Inc.
pub_4ae8c026f0,Feral Interactive
pub_b2587c342e,Stunlock Studios
pub_6a1cb85826,hasuhasu
pub_3c8ac998aa,Freejam
pub_1d933af863,NIJICO
pub_b1794092c8,Running With Scissors
pub_54b0be39be,GSC Game World (worldwide)
pub_d254b863d4,SEGA (Japan)
pub_641c85f989,4Divinity (China and South East Asia)
pub_1841baf2e0,Hinterland Studio Inc.
pub_ad09ca2b10,Triternion
pub_881e989d52,Gamepires
pub_d4b1380bcf,1047 Games
pub_da261934bf,ZA/UM
pub_9a04baad6f,IndieArk
pub_99f97dd76d,Shochiku (Japan)
pub_6a948202bf,Kepler Interactive
pub_f4b200e384,Eleventh Hour Games
pub_ce85ad8188,"KRAFTON, Inc"
pub_18992b5485,Relic Entertainment
pub_2cdb207aa1,Tuxedo Labs
pub_753aeee529,Funcom
pub_bb730c923c,Warner Bros. Interactive Entertainment
pub_f37645ebaf,Secret Mode
pub_9620d676a3,Frontier Developments
pub_4e3b4d894f,KONAMI
pub_e53fd36681,TCH Scarlet Limited
pub_acf520c32f,Crate Entertainment
pub_f7a4ba1000,Duoyi Games
pub_6da048f64d,Mob Entertainment
pub_23f69566b3,Lo-Fi Games
pub_6f84684a4d,Blobfish
pub_28d6446464,CRITICAL REFLEX
pub_abdbb5b4ec,Frozen District
pub_f55ce25037,PlayWay S.A.
pub_0de09d26f0,Afterthought LLC
pub_4e3b74b626,World Makers
pub_5a31b0d50a,gamigo US Inc.
pub_47565e912c,Amistech Games
pub_c1ab1b730f,Panic
pub_0357833854,Campo Santo
pub_4d0be4a9d0,Leppsoft
pub_33791252ae,1C-SoftClub
pub_978bd7e929,Gamirror Games
pub_3318eaa079,Giants Software
pub_6f06ebc2cf,"CarX Technologies, LLC"
pub_9ab2749cd7,Sandbox Interactive GmbH
pub_f5d1a5062e,Paradise Project
pub_861654561e,Straight Back Games
pub_83f960053b,Capcom
pub_fffaad2953,MY.GAMES
pub_e96ac9eca9,VALOFE
pub_bda6a6daa5,Creepy Jar
pub_e9d30964c3,Freebird Games
pub_57efacd3b2,Serenity Forge
pub_580ef4bb2c,"OMOCAT, LLC"
pub_e0b1dceacb,Playsaurus
pub_4bf60ab209,Nolla Games
pub_fad662b13c,Keen Games GmbH
pub_92ab7ba75c,Gun Media
pub_bda41d8a28,Bandai Namco Entertainment Inc.
pub_8e7fd20592,Bennett Foddy
pub_e38c202a25,8floor
pub_8e70efb4d7,Soviet Games
pub_c0c9529470,Daedalic Entertainment
pub_5cb905f8de,Subset Games
pub_246f79d9d5,IO Interactive A/S
pub_ab62a811ce,Beat Games
pub_31a6c9ac57,Team Psykskallar
pub_e9a765f5ea,Lever Games
pub_84b28e67da,3909
pub_74e4a21b45,Skybound Games
pub_5cb7e8f4d2,SteelRaven7
pub_d6c76f2ede,FishSoft LLC
pub_c0c4a3e948,Ninja Theory
pub_b634866b4d,7th Beat Games
pub_f68f676d4b,indienova
pub_e34966d3d8,Blender Foundation
pub_13374fa392,Hooded Horse
pub_7b64c91c04,Rec Room
pub_4a19eba2bd,Another Axiom Inc.
pub_bec169443b,Berserk Games
pub_a08b581222,Nokta Games
pub_636d804488,Playdead
pub_415467bcf1,WOLCEN Studio
pub_5ad4e7ef43,DeadDevsTellNoLies
pub_2d74c15654,Tour De Pizza
pub_0cbc8cbb63,lamedeveloper
pub_6e36848ca9,Fishing Planet LLC
pub_99804b4d6f,Torn Banner Studios
pub_d40789fc7c,Nimble Neuron
pub_c812046047,SapStaR Games
pub_5c0ed9f4e5,BetaDwarf
pub_222e57a9b0,ScottGames
pub_25b2c145c4,Shiro Games
pub_1245ad6d95,Source Technology
pub_8f24bc6790,10 Chambers
pub_9f0c0c023e,ConchShip Games
pub_53cab240f3,Edmund McMillen
pub_6e9183ec40,Arc Games
pub_aa11c11519,THQ Nordic
pub_118a3352ec,Boneloaf
pub_b799a98539,Arc System Works
pub_cccb902a8a,"MADFINGER Games, a.s."
pub_ac2601b96c,Hyper Hippo Games
pub_6917033bf0,Rebellion
pub_b3a71f03f0,Scott Cawthon
pub_a39b619b42,WarpFrog
pub_82b5495e59,Warchest Ltd.
pub_7a5ba71fe1,Sharkmob AB
pub_86cdf69cbe,Io-Interactive A/S
pub_3561753ef9,Ndemic Creations
pub_5a1ce259b1,Fireshine Games
pub_20817449c0,bilibili
pub_5c940e2273,Missing Link Games
pub_add43a87ab,NEOWIZ
pub_51d7b1cdc1,Wishlist Games
pub_eceafc7148,Miju Games
pub_7eba7d0db6,Rebuilt Games
pub_16f872a051,KOMODO
pub_3763846d85,Lucasfilm
pub_1143a1a1f2,LucasArts
pub_ecdb6dfd69,Disney
pub_99b5714780,Geometa
pub_322c552d67,零创游戏(ZerocreationGame)
pub_9567aa8e76,2P Games
pub_0a00a1385b,FuturLab
pub_2598cffa05,Gears for Breakfast
pub_f1bf074fad,The Irregular Corporation
pub_ada0c7126e,Ubisoft Entertainment
pub_720a7ba776,Moon Studios GmbH
pub_3e6422e7a2,Remedy Entertainment
pub_d2e5ad087d,"Blizzard Entertainment, Inc."
pub_06bd8777ee,Fluppisoft GmbH
pub_9d1028d004,Spiderling Studios
pub_198fe41911,Numantian Games
pub_68059b6df6,Curve Animation
pub_56b30dc40b,Clever Endeavour Games
pub_e68546f1ed,"Cygames, Inc."
pub_d821342c4c,北京网元圣唐娱乐科技有限公司
pub_dc90a12c37,Genesz
pub_0e5dd1a5d0,GSC Game World
pub_3a86108d6c,WSS playground
pub_f8aded3dff,Alliance Arts
pub_7ee18b8203,RocketWerkz
pub_0b3769a97c,Tripwire Presents
pub_d5c8c664c6,Deca Live Operations GmbH
pub_bbee3b2038,Thunder Lotus
pub_7a602eed51,Łukasz Jakowski Games
pub_4db3d78dc9,Digital Confectioners
pub_cf6a16f082,Beam Team Publishing
pub_55e04c7398,"KOEI TECMO GAMES CO., LTD."
pub_cf28f682e9,YAGER
pub_4d702a2243,intiny
pub_9506b7e9c4,Frictional Games
pub_c2a50b52e1,Toplitz Productions
pub_e13eb26466,MrFatcat
pub_8d4051f840,Dropsiick
pub_66df734f11,Galactic Cafe
pub_293091ac61,Klei Publishing
pub_646be6b5ba,Codemasters
pub_24747f9a18,Fulqrum Publishing
